text,word,n,id,name,Comments,CL,keyword,cbdsmokeshop,retailer,RT,Duplicate,Keyword mentioned in post?,Ingestible_edible,Vape,flower_combustible,non_ingestible,delta_8_specific,flavoring_mentioned,tested,amount_of_drug,sale_promotion_or_giveaway,Therapeutic_claim,Effects_mentioned,Naturalness,legal_high,popularity,availability,website,cbdsmokeshop_cl,retailer_cl,RT_cl,Duplicate_cl,Keyword mentioned in post?_cl,Ingestible_edible_cl,Vape_cl,flower_combustible_cl,non_ingestible_cl,delta_8_specific_cl,flavoring_mentioned_cl,tested_cl,amount_of_drug_cl,sale_promotion_or_giveaway_cl,Therapeutic_claim_cl,Effects_mentioned_cl,Naturalness_cl,legal_high_cl,popularity_cl,availability_cl,Website_cl
"Yo. Dudes and dudettes we have
 Delta 8 #thc! It's legal! https://t.co/jR9YYiAuhZ use my #couponCode MASSWON for 10% off &amp; #freeShipping

#delta8thc #delta8
#cbd #hempoil #cbdvape #vapingcbd #stress #stressrelief #reviewcbd #cbdreviews #cbd #cbdterps #cbdterpenes #cbdoil #mrbeast https://t.co/BmBIAKbYqj",cbdoil,17504,1.41E+18,Mass One,"hashtag standalone, sale","availability, legal status, coupon","not mentioned in post, hashtag standalone",0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity This Spearmint CBD vape juice liquid blend comes in various strengths of 250mg, 500mg, 1000mg and 2000mg, and features a refreshing spearmint flavor profile. Delicious https://t.co/JEgvjBCCAB #cbdedibles #delta8 https://t.co/fJAbJSqacY",cannabiscommunity,17467,1.43E+18,CBDSmokeShop,"hashtag standalone, sale, vape","vape, flavor, amount of drug, delicious","not mentioned in post, hashtag standalone, community",1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity V'Nilla Cream by Tinted Brew Liquid Co.- 60ml

V'Nilla Cream (formerly V'Nilla Cookies and Milk) s a deliciously rich Vanilla Wafer cookie dipped in a cold glass of https://t.co/fDR3aYgPmQ #cbdedibles #delta8 https://t.co/stDJzJ0Ked",cannabiscommunity,17467,1.41E+18,CBDSmokeShop,"hashtag standalone, sale, vape","edible, liquid, amount of drug, delicous","not mentioned in post, hashtag standalone, community",1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity It’s like a buzz from the ice cream man with Orange Creamsicle CBD Gummies flavored Delta-8 THC Bites. It’s a delicious Orange Creamsicle gummy infused with Delta-8 https://t.co/GqLqJzFwXh #cbdedibles #delta8 https://t.co/PnBuBKQYX8,cannabiscommunity,17467,1.41E+18,CBDSmokeShop,"hashtag standalone, sale, food/bev","edible, flavor, delicous","not mentioned in post, hashtag standalone, community",1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity A simple recipe for CBD and/or THC gummies 2 small (4 serving) or one large (8 serving) prepared gelatine - I used a big box of strawberry jell-o. 3T gelatin 1/2 ... https://t.co/AVCM6Ibzen #cbdedibles #delta8 https://t.co/4O4bK3Y8YX,cannabiscommunity,17467,1.44E+18,CBDSmokeShop,"hashtag standalone, sale, food/bev","recipe, amount of drug","not mentioned in post, hashtag standalone, community",1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Koi CBD Soft Chews

Share the health benefits of CBD with your dog with the Koi CBD Soft Chews!

The Koi CBD Soft Chews give your pet exactly what they deserve https://t.co/JkCnsiOYsJ #cbdedibles #delta8 https://t.co/WB9FG8gQFA",cannabiscommunity,17467,1.41E+18,CBDSmokeShop,"hashtag standalone, sale, food/bev","pet, edible, health","not mentioned in post, hashtag standalone, community",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Beard Vape Co No. 71 - Sweet &amp; Sour Sugar Peach (60ml)

Sour candy lovers rejoice! Beard Vape Company has created the stand out flavor called No. 71 e-liquid. https://t.co/Waq3K5z0tQ #cbdedibles #delta8 https://t.co/etLbGFURXV",prerolls,16739,1.41E+18,CBDSmokeShop,"hashtag standalone, sale, vape","vape, flavor, sour","not mentioned in post, hashtag standalone",1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Our all-natural hemp oil salve contains 600mg full spectrum CBD and 100% organic ingredients. Including olive oil, coconut oil, and beeswax. No artificial ingredients https://t.co/Ly8mzBrY46 #cbdedibles #delta8 https://t.co/MeyvWL5Y0Q",prerolls,16739,1.43E+18,CBDSmokeShop,"hashtag standalone, sale, lotion","salve, organic","not mentioned in post, hashtag standalone",1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Chill Plus Full Spectrum Delta-8 CBD Oil - 1000X -  Now you can chill like never before with Delta-8 and finally see what all of the BUZZ is about. Delta Force CBD Oil https://t.co/8ZNCX8SNnm #cbdedibles #delta8 https://t.co/xAfFVVV6IM,prerolls,16739,1.41E+18,CBDSmokeShop,"hashtag standalone, sale","oil, chill, buzz","not mentioned in post, hashtag standalone",1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Take a wild trip to the islands and feel the buzz with Delta 8 CBD Mango Gummies. It’s a delicious Mango gummy infused with Delta-8 THC. Enjoy the flavor of Mango https://t.co/NYBSB8Dmky #cbdedibles #delta8 https://t.co/4NFDVuDuHP,prerolls,16739,1.42E+18,CBDSmokeShop,"hashtag standalone, sale, food/bev","buzz, gummy, fruit, flavor, delicious, edible","not mentioned in post, hashtag standalone",1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
